Station,Magnitude,Rjb,Rup,vs30,Max. Aceleration (g),Max. Velocity (cm/sec),Max. Displacement (cm),Vmax / Amax: (sec),Acceleration RMS: (g),Velocity RMS: (cm/sec),Displacement RMS: (cm),Arias Intensity: (m/sec),Characteristic Intensity (Ic),Specific Energy Density (cm2/sec),Cumulative Absolute Velocity (cm/sec),Acceleration Spectrum Intensity (g*sec),Velocity Spectrum Intensity (cm),Housner Intensity (cm),Sustained Maximum Acceleration (g),Sustained Maximum Velocity (cm/sec),Effective Design Acceleration (g),A95 parameter (g),Max Incremental Velocity (cm/sec),Damage Index((g)^c),IP Index,"Sa,avg (g)",Standarized CAV (g*sec),Period (sec),Amplitude (cm/sec),Pulse Indicator (r)
RSN1244_CHICHI_CHY101-E,7.62,9.94,9.94,258.89,0.33966,65.00001,34.93913,0.19508,0.0409,11.19551,8.08012,2.31948,0.07846,11279.92287,1946.63615,0.24,154.60433,162.39216,0.28032,50.55415,0.31685,0.20006,102.16867,2.58201,30.3132,0.37721,1.61108,3.42,47.64074,0.72044 [pulse-like]
RSN1244_CHICHI_CHY101-N,7.62,9.94,9.94,258.89,0.39805,109.21116,74.05349,0.27968,0.04649,16.90388,13.66294,2.99769,0.0951,25715.27882,2103.22744,0.30811,241.10052,262.08331,0.26201,83.8307,0.39788,0.25913,137.70271,2.40755,19.48361,0.57394,1.76514,3.98,73.63496,0.74611 [pulse-like]
RSN1402_CHICHI_NST-E,7.62,38.36,38.42,491.08,0.31213,20.8842,23.43472,0.0682,0.02779,4.44792,6.41474,0.71398,0.03588,1186.93848,708.16561,0.23247,62.936,54.79184,0.27787,20.4169,0.32318,0.23067,26.49068,2.05101,34.54856,0.14894,0.48458,1.98,32.95683,0.38013 [non pulse-like]
RSN1402_CHICHI_NST-N,7.62,38.36,38.42,491.08,0.39915,30.8529,16.86041,0.07879,0.02981,4.20366,4.58259,0.8213,0.03986,1060.15616,700.23156,0.25475,89.92559,78.4906,0.28153,17.2474,0.38313,0.27861,38.85769,1.73935,23.15141,0.2005,0.49041,0.78,52.07999,0.46795 [non pulse-like]
RSN1475_CHICHI_TCU026-E,7.62,56.03,56.12,569.98,0.11846,37.86816,44.30768,0.32587,0.01306,6.60177,10.19995,0.2364,0.01415,3922.2822,614.73249,0.07958,58.10089,64.19035,0.08845,23.92776,0.1173,0.07119,30.45201,0.21628,17.12771,0.14678,0.24469,3.1,36.78776,0.53767 [non pulse-like]
RSN1475_CHICHI_TCU026-N,7.62,56.03,56.12,569.98,0.09126,26.74498,31.07923,0.29872,0.01328,4.97219,5.98768,0.24446,0.01451,2224.9142,614.71433,0.08519,64.31601,67.67842,0.0734,23.41428,0.09041,0.05941,32.92555,0.20114,24.24672,0.15032,0.27912,3.14,26.11113,0.42916 [non pulse-like]
RSN1476_CHICHI_TCU029-E,7.62,28.04,28.04,406.53,0.15773,37.47339,33.85611,0.24218,0.02038,8.4758,11.35764,0.57599,0.0276,6465.17156,941.81444,0.13138,73.38933,73.73088,0.12326,29.55748,0.15377,0.09038,43.28499,0.61918,25.91277,0.17524,0.58646,3.84,35.88863,0.45369 [non pulse-like]
RSN1476_CHICHI_TCU029-N,7.62,28.04,28.04,406.53,0.19836,51.87407,37.66507,0.26659,0.02395,11.01919,8.98957,0.79552,0.03516,10927.41429,1086.29058,0.14621,81.55185,87.57764,0.13561,45.76902,0.19545,0.10513,101.49603,0.71247,21.50166,0.20441,0.75465,3.98,49.51035,0.81398 [pulse-like]
RSN1477_CHICHI_TCU031-E,7.62,30.17,30.17,489.22,0.11487,53.94672,51.83125,0.47874,0.0174,10.36564,13.11622,0.42001,0.02178,9669.64077,835.021,0.07446,60.47759,69.35563,0.07835,31.46264,0.11426,0.07041,86.80098,0.23261,16.07333,0.15038,0.48436,3.98,51.44333,0.64887 [ambiguous]
RSN1477_CHICHI_TCU031-N,7.62,30.17,30.17,489.22,0.12455,46.9756,28.12034,0.38448,0.02066,9.89979,8.64496,0.59168,0.02816,8820.04029,1069.78252,0.10374,83.85875,97.1208,0.10646,34.43102,0.12325,0.07635,59.95838,0.31022,23.41074,0.20067,0.69636,3.98,37.55414,0.59477 [ambiguous]
RSN1478_CHICHI_TCU033-E,7.62,40.88,40.88,423.4,0.15753,41.54735,49.3934,0.26884,0.02365,9.41479,12.0713,0.77589,0.03451,7977.00848,1091.09124,0.15448,101.32296,95.85138,0.12547,35.79602,0.1569,0.10712,59.98734,0.89841,27.00577,0.22137,0.75578,3.5,38.95389,0.41318 [non pulse-like]
RSN1478_CHICHI_TCU033-N,7.62,40.88,40.88,423.4,0.18533,24.014,18.98463,0.13208,0.02152,5.96409,5.06026,0.64244,0.02996,3201.15427,989.03237,0.16009,112.58739,112.15114,0.1232,22.75243,0.18695,0.11101,37.67791,0.72978,42.44773,0.23125,0.63588,2.2,21.96706,0.49683 [non pulse-like]
RSN1479_CHICHI_TCU034-E,7.62,35.68,35.68,393.77,0.25299,43.66093,42.84433,0.17592,0.02616,8.76769,11.22184,0.94877,0.04013,6918.13546,1047.65199,0.24813,104.52646,98.7985,0.17788,35.59981,0.25127,0.1905,40.36969,0.92327,24.67624,0.23386,0.72433,3.98,42.14054,0.50823 [non pulse-like]
RSN1479_CHICHI_TCU034-N,7.62,35.68,35.68,393.77,0.10543,24.26563,22.07443,0.23462,0.02027,5.57627,5.1307,0.56999,0.02738,2798.37333,965.06007,0.13168,106.34146,100.09892,0.10266,23.43542,0.10727,0.07707,36.3118,0.4753,40.98464,0.21401,0.60455,3.98,21.98393,0.53019 [non pulse-like]
RSN1480_CHICHI_TCU036-E,7.62,19.83,19.83,478.07,0.13676,57.55243,59.04143,0.42898,0.023,11.08863,14.26309,0.7339,0.0331,11065.57949,1068.59967,0.12135,93.12833,94.33551,0.12841,48.3905,0.13689,0.10038,44.9642,0.53805,19.10634,0.21141,0.73433,3.98,55.44837,0.65134 [pulse-like]
RSN1480_CHICHI_TCU036-N,7.62,19.83,19.83,478.07,0.12472,47.54016,51.82549,0.38857,0.02312,10.78629,10.53104,0.74133,0.03335,10470.38329,1119.2126,0.11789,92.79397,100.35077,0.1099,43.13713,0.12446,0.08206,63.46622,0.50281,24.18796,0.21512,0.78551,3.98,33.28162,0.57127 [ambiguous]
RSN1481_CHICHI_TCU038-E,7.62,25.42,25.42,297.86,0.14482,56.76904,44.81163,0.39958,0.02337,10.0394,12.87667,0.75764,0.0339,9070.54733,1127.09322,0.13547,76.33077,83.17506,0.12319,40.47754,0.14339,0.09515,55.66265,0.60159,20.35076,0.19207,0.78574,3.98,54.20901,0.54167 [non pulse-like]
RSN1481_CHICHI_TCU038-N,7.62,25.42,25.42,297.86,0.14417,38.77272,44.38827,0.27415,0.02731,8.80562,9.47157,1.0344,0.04282,6978.10972,1263.37393,0.17578,104.68303,99.90299,0.13877,36.10795,0.14315,0.10784,36.30261,0.92918,33.35755,0.22806,0.91706,3.98,30.0609,0.50974 [non pulse-like]
