Station,Magnitude,Rjb,Rup,vs30,Max. Aceleration (g),Max. Velocity (cm/sec),Max. Displacement (cm),Vmax / Amax: (sec),Acceleration RMS: (g),Velocity RMS: (cm/sec),Displacement RMS: (cm),Arias Intensity: (m/sec),Characteristic Intensity (Ic),Specific Energy Density (cm2/sec),Cumulative Absolute Velocity (cm/sec),Acceleration Spectrum Intensity (g*sec),Velocity Spectrum Intensity (cm),Housner Intensity (cm),Sustained Maximum Acceleration (g),Sustained Maximum Velocity (cm/sec),Effective Design Acceleration (g),A95 parameter (g),Max Incremental Velocity (cm/sec),Damage Index((g)^c),IP Index,"Sa,avg (g)",Standarized CAV (g*sec),Period (sec),Amplitude (cm/sec),Pulse Indicator (r)
RSN1503_CHICHI_TCU065-E,7.62,0.57,0.57,305.85,0.11574,55.31159,59.16019,0.48714,0.01992,13.52325,15.13797,0.55053,0.02668,16458.14199,975.75563,0.07992,88.24972,95.10655,0.08836,42.54999,0.11573,0.07327,75.85336,0.20498,18.21115,0.1957,0.58601,3.98,89.04296,0.61736 [ambiguous]
RSN1503_CHICHI_TCU065-N,7.62,0.57,0.57,305.85,0.57547,92.12768,50.19888,0.16319,0.072,17.45917,12.36389,7.18822,0.18326,27432.51189,3346.12255,0.33242,351.92706,348.82341,0.377,63.11752,0.57724,0.30845,126.58225,5.36919,36.56424,0.76399,3.06411,2.84,89.5775,0.38503 [non pulse-like]
RSN1505_CHICHI_TCU068-E,7.62,0,0.32,487.34,0.51168,249.59401,297.15416,0.49724,0.0488,36.10664,82.22328,3.3019,0.10225,117325.5284,1750.50025,0.47966,310.47126,356.64125,0.49047,120.43043,0.50678,0.41498,194.04893,1.37502,7.10459,0.78383,1.43948,3.98,233.3488,0.73190 [pulse-like]
RSN1505_CHICHI_TCU068-N,7.62,0,0.32,487.34,0.37091,264.09987,421.6757,0.72582,0.04813,45.7941,107.17154,3.21217,0.10016,188728.5162,1927.17614,0.2583,265.63337,291.73026,0.29558,143.21434,0.37086,0.2218,407.30553,1.1191,7.36529,0.60885,1.61461,3.98,101.43288,0.63142 [ambiguous]
RSN1510_CHICHI_TCU075-E,7.62,0.89,0.89,573.02,0.33198,109.55689,96.6083,0.3364,0.04631,14.07836,19.52474,2.97401,0.09454,17837.02769,2171.77451,0.31108,169.35533,187.06432,0.23682,49.62738,0.33004,0.19952,115.29239,4.55973,19.98251,0.41069,1.88903,3.98,107.89187,0.80852 [pulse-like]
RSN1510_CHICHI_TCU075-N,7.62,0.89,0.89,573.02,0.2625,36.0823,31.58062,0.14012,0.02998,8.37613,8.49823,1.24647,0.04925,6314.01082,1484.97027,0.19846,88.28328,89.78468,0.15218,35.1315,0.25834,0.1281,47.45679,1.69024,41.83884,0.21831,1.17742,3.92,35.66035,0.49109 [non pulse-like]
RSN1511_CHICHI_TCU076-E,7.62,2.74,2.74,614.98,0.34448,51.84418,33.27443,0.15341,0.05034,8.13007,6.20717,3.51371,0.10713,5948.49188,2355.40492,0.34642,132.44568,127.36754,0.27843,32.58694,0.33708,0.20876,36.18113,6.12208,45.7277,0.31607,2.11162,3.98,50.74303,0.67925 [pulse-like]
RSN1511_CHICHI_TCU076-N,7.62,2.74,2.74,614.98,0.42846,59.7574,43.29141,0.14217,0.05132,8.64772,7.19904,3.65296,0.1103,6730.09404,2357.96072,0.33761,199.61793,187.05961,0.27652,38.41851,0.42266,0.25108,89.77914,5.26609,39.71487,0.44681,2.08522,3.96,56.31672,0.53338 [non pulse-like]
RSN1515_CHICHI_TCU082-E,7.62,5.16,5.16,472.81,0.22531,54.92308,95.08009,0.24849,0.02942,10.68513,18.61076,1.20045,0.04788,10274.91088,1346.03575,0.21923,116.92088,118.75257,0.16397,45.75666,0.22427,0.13203,48.39037,1.05577,25.00488,0.2817,1.04673,3.52,52.40983,0.44714 [non pulse-like]
RSN1515_CHICHI_TCU082-N,7.62,5.16,5.16,472.81,0.18588,40.76561,44.25589,0.22356,0.0306,9.88229,11.3775,1.29818,0.05077,8788.88934,1406.89059,0.17189,137.80051,140.41139,0.18315,36.91104,0.18712,0.13755,65.97568,1.01599,35.2103,0.30948,1.10332,3.6,25.23837,0.46088 [non pulse-like]
RSN1519_CHICHI_TCU087-E,7.62,6.98,6.98,538.69,0.12165,45.02266,59.99275,0.37726,0.01786,8.72276,13.43759,0.44234,0.02264,6847.40588,854.75496,0.10933,77.6311,81.98304,0.09591,30.16739,0.1217,0.0764,45.76748,0.34536,19.68444,0.17972,0.50139,3.88,42.04386,0.42761 [non pulse-like]
RSN1519_CHICHI_TCU087-N,7.62,6.98,6.98,538.69,0.11382,40.48472,34.07377,0.36258,0.01925,7.37167,5.87573,0.51372,0.02533,4890.46125,916.20134,0.0945,76.57762,83.09452,0.09158,30.54829,0.1136,0.07683,71.0337,0.28201,23.42152,0.18199,0.56148,3.98,36.44106,0.79131 [pulse-like]
RSN1528_CHICHI_TCU101-E,7.62,2.11,2.11,389.41,0.21192,76.81061,73.48372,0.36947,0.03622,14.06434,19.71945,0.99022,0.04824,9691.49125,1053.39425,0.2077,116.11505,111.50074,0.19718,41.28813,0.20805,0.14644,61.88761,1.30143,13.76995,0.26688,0.82886,3.98,68.86124,0.66481 [pulse-like]
RSN1528_CHICHI_TCU101-N,7.62,2.11,2.11,389.41,0.25849,50.97208,35.95485,0.20101,0.03624,11.66462,12.6769,0.99161,0.04829,6666.42473,1066.63116,0.17973,118.92809,113.361,0.16441,37.54473,0.25077,0.15509,39.36544,1.02212,21.03138,0.2661,0.83924,3.98,37.4187,0.61271 [ambiguous]
RSN1529_CHICHI_TCU102-E,7.62,1.49,1.49,714.27,0.30393,91.72089,104.53675,0.30763,0.03821,15.09517,16.91072,2.02507,0.07087,20506.63245,1512.19056,0.16643,244.64938,260.05252,0.20802,67.0656,0.30349,0.22916,158.28601,0.8332,16.8015,0.51475,1.18084,2.56,89.19678,0.56591 [ambiguous]
RSN1529_CHICHI_TCU102-N,7.62,1.49,1.49,714.27,0.17172,66.42757,50.71382,0.39433,0.03516,12.8016,9.9956,1.71403,0.06253,14748.46853,1616.4989,0.11129,224.97339,233.94791,0.13969,52.9655,0.1705,0.11986,126.14899,0.57451,24.77007,0.40513,1.32615,2.42,65.39897,0.59153 [ambiguous]
RSN1530_CHICHI_TCU103-E,7.62,6.08,6.08,494.1,0.12886,70.25456,68.38636,0.55574,0.02244,11.91139,15.87945,0.69806,0.03188,12768.60476,999.09307,0.13759,112.70036,112.65854,0.11788,41.11185,0.12795,0.09291,52.6352,0.40297,14.67622,0.23811,0.65928,3.94,67.2235,0.62097 [ambiguous]
RSN1530_CHICHI_TCU103-N,7.62,6.08,6.08,494.1,0.15267,24.21933,17.87356,0.16171,0.02062,5.63418,5.11374,0.58943,0.02808,2856.79753,960.22979,0.13524,90.26586,84.69284,0.11827,19.79152,0.1519,0.09908,37.50687,0.47042,40.99059,0.19414,0.6297,3.98,23.11835,0.39325 [non pulse-like]
RSN1531_CHICHI_TCU104-E,7.62,12.87,12.87,410.45,0.10353,30.97603,39.09127,0.30498,0.0187,7.99445,12.30554,0.48515,0.02427,5751.69604,905.22264,0.0936,77.33488,74.87257,0.10024,29.81781,0.10347,0.07734,29.33859,0.36558,30.18667,0.16577,0.54873,3.64,30.14118,0.38315 [non pulse-like]
RSN1531_CHICHI_TCU104-N,7.62,12.87,12.87,410.45,0.08866,47.48813,45.19265,0.54599,0.01728,11.70691,13.95941,0.41393,0.02154,12333.96153,868.28453,0.07594,62.76987,70.15833,0.07943,40.5477,0.08734,0.05923,74.96606,0.21952,18.8933,0.14867,0.50511,3.98,35.80279,0.49310 [non pulse-like]
RSN1548_CHICHI_TCU128-E,7.62,13.13,13.13,599.64,0.14399,63.7544,81.84172,0.45134,0.02127,14.01185,18.48954,0.62754,0.02943,17668.89726,932.62149,0.10952,89.02392,96.76029,0.10554,52.4855,0.14407,0.09676,88.59635,0.46642,15.12522,0.20965,0.61286,3.98,57.9723,0.56735 [ambiguous]
RSN1548_CHICHI_TCU128-N,7.62,13.13,13.13,599.64,0.16674,62.64515,52.2932,0.38298,0.02441,10.48308,8.98143,0.82605,0.03617,9889.99236,1047.66149,0.12313,103.25312,119.84044,0.14288,46.84701,0.1666,0.12722,75.66854,0.52316,17.24651,0.25438,0.7367,3.98,54.19834,0.76673 [pulse-like]
RSN1550_CHICHI_TCU136-N,7.62,8.27,8.27,462.1,0.17417,51.46551,44.14423,0.30121,0.02085,9.53518,11.54865,0.60262,0.02855,8182.40408,921.39784,0.11027,103.12474,103.40756,0.11558,32.5574,0.1741,0.11896,83.69563,0.38504,18.54091,0.22249,0.60891,3.72,46.2969,0.61731 [ambiguous]
RSN1550_CHICHI_TCU136-W,7.62,8.27,8.27,462.1,0.17032,45.44538,60.13554,0.27199,0.02174,9.60487,14.43612,0.6554,0.03041,8302.45124,934.45092,0.1313,120.08014,110.16363,0.11785,37.84412,0.17073,0.12008,47.51269,0.52236,21.2645,0.24477,0.61404,3.02,39.79366,0.37193 [non pulse-like]
RSN1602_DUZCE_BOL000,7.14,12.02,12.04,293.57,0.73925,55.93427,25.587,0.07713,0.06574,8.34816,5.61144,3.72251,0.12602,3895.07391,1483.35349,0.64334,236.90286,214.1133,0.43106,41.89196,0.73625,0.45759,61.8921,4.55052,26.59587,0.54266,1.25812,2.72,40.37804,0.45627 [non pulse-like]
RSN1602_DUZCE_BOL090,7.14,12.02,12.04,293.57,0.80568,65.88261,13.0985,0.08336,0.05312,7.72679,2.86295,2.43009,0.09153,3336.81231,1166.9295,0.48238,258.38433,236.98149,0.36738,28.41236,0.79973,0.64535,128.00142,1.76201,17.79691,0.56194,0.9019,0.98,111.23981,0.71040 [pulse-like]
RSN2114_DENALI_PS10-047,7.14,0.18,2.74,329.4,0.3326,115.7156,53.44168,0.35465,0.03654,12.14116,8.45946,1.89419,0.06702,13574.78217,1518.58891,0.2435,294.32545,328.7223,0.28726,54.98657,0.33309,0.26475,176.21274,0.90105,13.2961,0.66255,1.0988,2.56,94.596,0.70924 [pulse-like]
RSN2114_DENALI_PS10-317,7.14,0.18,2.74,329.4,0.29741,65.96213,36.69825,0.22608,0.02734,8.81442,7.10038,1.06089,0.04339,7154.84539,1277.50906,0.16785,199.62941,202.43511,0.15833,39.05422,0.29689,0.19094,105.08422,0.77846,19.67404,0.42436,0.81842,3.98,49.37013,0.71312 [pulse-like]
RSN2734_CHICHI.04_CHY074E,7.62,6.02,6.2,553.43,0.32226,32.87528,10.11607,0.10399,0.02627,3.45022,1.15248,1.38329,0.04857,1548.00264,952.27856,0.2677,165.41878,146.85111,0.26456,30.0037,0.31723,0.23009,54.08749,1.55222,30.91642,0.34249,0.70804,0.86,27.23562,0.48300 [non pulse-like]
RSN2734_CHICHI.04_CHY074N,7.62,6.02,6.2,553.43,0.34122,43.5005,16.18201,0.12995,0.02832,3.57959,1.72469,1.60667,0.05434,1666.26075,949.15368,0.43326,175.27021,165.02262,0.3072,31.60261,0.33963,0.26342,57.62871,2.11329,23.28259,0.39991,0.68732,2.02,28.43615,0.67613 [pulse-like]
RSN3473_CHICHI.06_TCU078E,7.62,5.72,11.52,443.04,0.26627,40.33476,14.71535,0.15441,0.02421,3.29851,2.20297,0.67776,0.03263,816.44739,594.12044,0.25859,104.93256,95.04782,0.22096,14.80417,0.26432,0.20396,42.05146,1.08948,15.60625,0.23236,0.41522,3.7,161.89431,0.72445 [pulse-like]
RSN3473_CHICHI.06_TCU078N,7.62,5.72,11.52,443.04,0.38731,34.70529,8.08726,0.09134,0.02933,2.41214,0.79682,0.99481,0.04352,436.6128,645.54135,0.38365,98.76169,85.34039,0.26804,19.01846,0.38551,0.29474,48.55318,1.72167,19.58914,0.2157,0.46568,0.8,64.72442,0.59560 [ambiguous]
RSN3475_CHICHI.06_TCU080E,7.62,0,10.2,489.32,0.47099,29.25353,5.72922,0.06331,0.03613,2.26465,0.52558,2.17185,0.07136,553.86928,1062.28733,0.28474,117.07128,95.64844,0.44122,16.63233,0.41051,0.31509,52.77508,7.7513,37.96853,0.24081,0.87882,0.84,40.35931,0.67536 [pulse-like]
RSN3475_CHICHI.06_TCU080N,7.62,0,10.2,489.32,0.53961,36.10813,5.91342,0.06821,0.04334,2.19548,0.75986,3.12618,0.09377,520.55183,1158.38712,0.42674,124.11229,96.50849,0.51462,24.61968,0.51524,0.41064,50.41737,10.5735,33.40568,0.25218,0.98203,1.4,65.76468,0.68081 [pulse-like]
RSN3548_LOMAP_LEX000,6.93,3.22,5.02,1070.34,0.44276,85.69488,17.33305,0.1973,0.03842,6.17283,2.62585,1.86265,0.06814,3121.08303,819.04686,0.31938,273.28862,249.84175,0.2971,36.69645,0.43669,0.34402,122.56853,1.05357,10.10038,0.55243,0.67982,1.06,49.76774,0.79128 [pulse-like]
RSN3548_LOMAP_LEX090,6.93,3.22,5.02,1070.34,0.41147,95.77715,30.29089,0.23728,0.03731,7.18671,3.77331,1.75687,0.06522,4230.54887,797.81231,0.26947,285.99399,269.3776,0.25336,30.7591,0.4094,0.32547,121.87384,1.15393,8.82243,0.58865,0.65903,2.12,143.15915,0.81012 [pulse-like]
